trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,13,9.663310184504066,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",25,3,-26.11105345538683,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",25,1,15.691423734765362,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",30,0,36.94506804885794,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",20,0,-17.090683390645122,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",25,9,5.351467833971574,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",20,12,15.05663492212377,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",30,1,25.38824216936622,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,0,10.742153591517276,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",25,9,-89.8839615301479,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",20,0,22.478156015901295,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,13,-43.1269040610118,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",35,12,-22.323829532127487,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",20,9,-8.808766465678726,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",20,0,17.340941375910937,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",30,13,-16.91067102093094,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",25,16,13.444633415796925,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",25,0,7.853698641865751,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",30,22,12.819844039612896,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",25,12,20.000912914570083,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",20,5,-35.246813851004255,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
